Legacy	Shock	Treatment	Time	Sample	Nitrobacter	Nitrospira	AOB	Bacteria	Archaea	AOA	NEA	AO_Ratio	NO_Ratio	AO_Sum	NO_Sum
Control	Heat	Control.Heat	25	A.11.1	6.395763089	6.714609139	9.346346024	9.582759523	8.135601581	7.258074	0.214608864	0.008160711	0.479903537	2238080956	7670833.333
Control	Heat	Control.Heat	25	A.11.2	5.983400738	6.20094165	8.592710811	9.55295486	7.913955576	6.976252359	0.091480312	0.024184747	0.605981112	400948981.6	2550833.333
Control	Heat	Control.Heat	25	A.11.3	6.339948062	6.774516966	9.252725658	9.788084034	8.109436142	7.086739086	0.13015797	0.006823598	0.367647059	1801685750	8137500
Control	Cold	Control.Cold	25	B.11.1	5.836324116	5.874578446	9.203819496	9.569968092	8.024922734	6.202084303	0.080623032	0.000996013	0.915684093	1600485868	1435166.667
Control	Cold	Control.Cold	25	B.11.2	6.361727836	6.471047107	9.911779847	9.652923354	8.289279468	6.623602141	0.084867645	0.000515018	0.777464789	8165888755	5258333.333
Control	Cold	Control.Cold	25	B.11.3	5.992111488	6.190331698	9.827504052	9.601316549	8.191117371	6.408687165	0.300544901	0.000381227	0.633548387	6724648439	2532000
Control	Control	Control.Control	25	C.11.1	6.573065095	6.226170123	8.578056238	9.573041842	8.357390753	6.266432981	0.334036879	0.004879516	2.222772277	380338449.3	5425000
Control	Control	Control.Control	25	C.11.2	6.334118518	6.431363764	9.071445088	9.550977269	8.190835732	5.671229731	0.150079147	0.00039791	0.799382716	1179282527	4858333.333
Control	Control	Control.Control	25	C.11.3	6.591064607	6.669006781	9.174966797	9.529752425	8.490906464	6.981441339	0.08984483	0.006404342	0.835714286	1505702941	8566666.667
Legacy	Cold	Legacy.Cold	25	D.11.1	5.949390007	6.162365235		9.561998788	7.651014931	6.419913896	0.009488827		0.612385321		2343333.333
Legacy	Cold	Legacy.Cold	25	D.11.2	5.572871602	5.917330426		9.693019186	8.160082429	6.161155445	0.055157055		0.452419355		1200666.667
Legacy	Cold	Legacy.Cold	25	D.11.3	5.900367129	6.195899652		9.521493061	8.022211074	6.534659412	0.281562324		0.506369427		2365000
Legacy	Control	Legacy.Control	25	E.11.1	5.626682466	6.061452479		9.454348606	7.950593117	5.892359711	0.089473595		0.367476852		1575333.333
Legacy	Control	Legacy.Control	25	E.11.2	6.215725665	6.432434775		9.52841839	7.812022018	6.012035859	0.064403151		0.607142857		4350000
Legacy	Control	Legacy.Control	25	E.11.3	5.946124619	6.414973348		9.454059044	8.211846507	5.321866179	0.205118879		0.33974359		3483333.333
Legacy	Heat	Legacy.Heat	25	F.11.1	6.010017121	6.250420002	6.314500197	9.612575891	7.833117974	5.845612185	0.152992648	0.33971286	0.574906367	2763833.799	2803333.333
Legacy	Heat	Legacy.Heat	25	F.11.2	6.086359831	6.156347201	6.454105938	9.741426782	8.079276455	6.388714831	0.126545692	0.860218728	0.851162791	5292610.692	2653333.333
Legacy	Heat	Legacy.Heat	25	F.11.3	6.105510185	6.113943352	6.207190853	9.724646605	7.715522313	6.179110959	0.177015033	0.937389548	0.980769231	3121819.615	2575000
Control	Heat	Control.Heat	35	A.13.1	6.06069784	6.440909082	8.40064242	9.6315787	7.973823006	6.480250187	0.158654155	0.012011791	0.416666667	254582175.2	3910000
Control	Heat	Control.Heat	35	A.13.2	5.528273777	5.752048448	8.03419554	9.578680149	7.563590132	6.753935322	0.116196374	0.05244931	0.597345133	113866698.4	902500
Control	Heat	Control.Heat	35	A.13.3	5.779957051	6.593286067	7.673512601	9.49500025	7.906322	6.399529023	0.395178496	0.053212838	0.15369898	49662519.09	4522500
Control	Cold	Control.Cold	35	B.13.1	6.395326393	6.693726949	9.895026418	9.665879017	8.193497606	5.990722042		0.000124651	0.503036437	7853812881	7425000
Control	Cold	Control.Cold	35	B.13.2	6.063521	6.139879086	9.560717873	9.577095148	8.106766553	5.90836187	0.151349509	0.000222661	0.838768116	3637596826	2537500
Control	Cold	Control.Cold	35	B.13.3	6.003245055	6.017033339	9.13741758	9.461121613	7.976203241	5.970702725	0.311514807	0.000681216	0.96875	1373135287	2047500
Control	Control	Control.Control	35	C.13.1	6.315270435	6.51675566	8.998023364	9.500188215	8.158246025	7.180150382	0.153633383	0.015209923	0.628803245	1010599824	5353333.333
Control	Control	Control.Control	35	C.13.2	6.367976785	6.405972104	8.808016372	9.47522803	8.216576847	7.073614836	0.329198181	0.018433104	0.916230366	654559121.1	4880000
Control	Control	Control.Control	35	C.13.3	6.322219295	6.619093331	9.094171098	9.489706095	8.357763952	7.131038666	0.364854257	0.010885981	0.504807692	1255663504	6260000
Legacy	Cold	Legacy.Cold	35	D.13.1	5.301933835	5.352182518	8.18320625	9.050915927	8.088978173	6.371516796	0.261942564	0.015428033	0.890740741	154830101.4	425416.6667
Legacy	Cold	Legacy.Cold	35	D.13.2	6.116718406	6.103233406	8.906661616	9.131918901	7.742720514	6.546832159	0.102586469	0.004366873	1.031537451	810128659	2576666.667
Legacy	Cold	Legacy.Cold	35	D.13.3	6.5261238	6.710399466	9.808682692	9.020974043	8.296088748	6.575270652	0.031837313	0.000584236	0.654220779	6440748601	8491666.667
Legacy	Control	Legacy.Control	35	E.13.1	6.181843588	6.162365235	8.900639528	9.429497274	7.909305984	6.889791025	0.126024107	0.009753298	1.04587156	803257534.9	2973333.333
Legacy	Control	Legacy.Control	35	E.13.2	5.745595216	6.064956892	8.392942061	9.401670432	8.194973955	6.76209471	0.186455999	0.023396595	0.479334099	252921662.9	1718000
Legacy	Control	Legacy.Control	35	E.13.3	6.35089381	6.204119983	8.962676537	9.612297332	8.153575943	6.645666577	0.078511988	0.004819367	1.402083333	922071362.2	3843333.333
